Time (ns),Memory Usage (%)
114816265,44.53125
114830906,44.140625
114834634,43.75
114851625,43.359375
114922394,42.96875
114927357,42.578125
114930761,42.1875
114933723,41.796875
114953764,41.40625
114958007,41.015625
114961582,40.625
114978145,40.234375
114981742,39.84375
114996302,39.453125
114999774,39.0625
115003082,38.671875
115017544,38.28125
115107561,37.890625
115114226,37.5
115119854,37.109375
115131781,36.71875
115161587,36.328125
115168812,35.9375
115172877,35.546875
115196583,35.15625
115200714,34.765625
115218872,34.375
115224262,33.984375
115229867,33.59375
115233011,33.203125
115253517,32.8125
115480111,32.421875
115485597,32.03125
115488566,31.640625
115493916,31.25
115525910,30.859375
115530315,30.46875
115533746,30.078125
115553694,29.6875
115557463,29.296875
115578875,28.90625
115582771,28.515625
115588157,28.125
115591106,27.734375
115605845,27.34375
115818125,26.953125
115823800,26.5625
115829646,26.171875
115834596,25.78125
115839357,25.390625
115881428,25
115886512,24.609375
115905392,24.21875
115913208,23.828125
115933634,23.4375
115937560,23.046875
115959158,22.65625
115962844,22.265625
115983623,21.875
116135108,21.484375
116141386,21.09375
116145366,20.703125
116152602,20.3125
116182605,19.921875
116186987,19.53125
116190444,19.140625
116215646,18.75
116220585,18.359375
116239513,17.96875
116243883,17.578125
116247694,17.1875
116250963,16.796875
116273288,16.40625
116379280,16.015625
116385063,15.625
116388310,15.234375
116391264,14.84375
116394556,14.453125
116420822,14.0625
116425203,13.671875
116448905,13.28125
116453031,12.890625
116473161,12.5
116483544,12.109375
116502981,11.71875
116507173,11.328125
116524440,10.9375
116628802,10.546875
116633883,10.15625
116637302,9.765625
116640145,9.375
116672150,8.984375
116680150,8.59375
116683813,8.203125
116706171,7.8125
116711038,7.421875
116739996,7.03125
116744364,6.640625
116747507,6.25
116750565,5.859375
116769952,5.46875
118587124,5.078125
118601887,4.6875
118605467,4.296875
118608486,3.90625
118661446,3.515625
118666427,3.125
118671281,2.734375
118713722,2.34375
118718087,1.953125
118736795,1.5625
118742508,1.171875
118744981,0.78125
118747464,0.390625
118764281,0
